CAMPO,FRASE
RIÑON IZQUIERDO,"Tamaño y ubicación anatómica normal, capsula de superficie lisa, regular y ecogénica, conserva buena relación y diferenciación corticomedular"
PANCREAS,En corte longitudinal se mide tamaño en cuerpo de ancho ___ mm
SEXO,MACHO
TESTICULOS,Dimensión en corte sagital ___mm de ancho y ___mm largo
BAZO,No evaluable
OTROS,"Frecuencia cardiaca durante el examen ecográfico ___ lpm, por medición doppler en ventrículo izquierdo"
CONCLUSIONES,Monitoreo hospitalario para dar seguimiento al tránsito estomacal en curso.
RIÑON DERECHO,Quiste en polo craneal de  __ x __mm de diámetro
RIÑON DERECHO,Con la misma descripción ecográfica del riñón contralateral presentando alteración corticomedular
RIÑON IZQUIERDO,Alteración en relación cortical aumentada y medular disminuida sugerente de nefritis intersticial
RIÑON IZQUIERDO,En cortical presenta pequeñas áreas hiperecoicas difusas sin sombra acústica sugerentes de  fibrosis
BAZO,Parénquima esplenico de  ecotextura isoecoica comparada con corteza renal
OVARIOS,Caudal al riñón izquierdo en  fosa ovárica se aprecia una estructura  morulada de múltiples quistes con refuerzo posterior de 8.88mm de ancho y 25.14mm de largo aproximados realizados en corte longitu
OVARIOS,"Caudal al riñón derecho en  fosa ovárica se aprecias  una estructura  morulada de múltiples quistes con refuerzo posterior y cavitaciones internas, se mide en corte longitudinal 16.27mm de ancho y 36."
CONCLUSIONES,"Por las alteraciones en sistema reproductor, los quistes y la colecta en muñón uterino se recomienda realizar laparotomía exploratoria"
UTERO,No evaluable
RIÑON DERECHO,"No se observa por nerviosismo e intranquilidad en el examen, se recomienda realizar tricotomia para el siguiente examen ecografico"
URETRA,No evaluada
TESTICULOS,No evaluado
PROSTATA,No evaluado
GLANDULA TIROIDES,No evaluado
VEJIGA URINARIA,Se aprecian dos estructuras móviles  hiperecoicas con sombra acústica de 2 a 3 mm de diámetro sugerentes de litios vesicales.
VEJIGA URINARIA,"Con leve contenido urinario se evalúa tamaño de pared vesical craneal __mm, pared ventral ___mm, pared dorsal ___mm"
SEXO,HEMBRA ENTERA
MOTIVOS,Con énfasis en sistema genito urinario
BAZO,Excepto por una estructura hipoecoica focal en cuerpo esplenico de ___mm diametro
BAZO,Capsula de predomineo lisa excepto por el quiste donde se torna irregular
BAZO,Tamaño levemente aumentado
RAZAS,PERSA EXOTICO
OTROS,Índice de resistencia de
CONCLUSIONES,"Se recomienda realizar cita de consulta cardiología y panel cardiaco completo Rxs tórax  lateral y DV, Ecocardiografía, Electrocardiograma y medición de presión arterial."
MOTIVOS,Ecografia abdominal por aborto
UTERO,"Con aumento del grosor en sus paredes, contenido ecogenico difuso sin movimiento ni focos en suspencion,"
UTERO,En utero izquierdo se observa una estructura anecoica encapsulada bien definida con aumento de grosor en su pared
UTERO,"Sugerente de maceracion fetal, retencion placentaria, metritis, loquios post parto"
CONCLUSIONES,Por la presentacion de aborto considerar riesgo de infeccion zoonotica por Brucella spp
LINFONODOS,Iliacos mediales
LINFONODOS,Pancreatico duodenales y yeyunales
VEJIGA URINARIA,Tanto en decubito dorsal como en cuadripedestacion
OVARIOS,No se observa ovario derecho
PROSTATA,Tamaño pequeño atrofiado
ESTOMAGO,Sugerente de gastritis urémica.
INTESTINO GRUESO,"Contenido gaseoso, en colon descendente y estratificación conservada."
CONCLUSIONES,Se sugiere realizar Orquiectomia con estudio de histopatología para descartar malignidad de la gónada  criptórquida.
UTERO,Ventral  a la vejiga se localiza el útero este se encuentra con
RIÑON IZQUIERDO,"* la doble ecogenicidad cortical si no es acompañada de hallazgos anormales en su orina o químicas sanguíneas (Glucosa, Cre, BUN, Fosforo, ALT, FA)  podría"
RIÑON IZQUIERDO,"** considerarse un proceso normal individual en este paciente sin representar enfermedad, se sugiere realizar seguimiento cada 3 meses ecográficos renales."
RIÑON IZQUIERDO,En cortical presenta una área periférica de ecogenicidad reducida anecoica y un área central cortical hiperecoica  de relación iso ecogénica con respecto al hígado
CONCLUSIONES,"* la doble ecogenicidad cortical si no es acompañada de hallazgos anormales en su orina o químicas sanguíneas (Glucosa, Cre, BUN, Fosforo, ALT, FA)  podría"
CONCLUSIONES,"** considerarse un proceso normal individual en este paciente sin representar enfermedad, se sugiere realizar seguimiento cada 3 meses ecográficos renales."
UTERO,"Sin colecta uterina y sin focos ecogénicos en suspensión, sugerente de diestro,  endometritis o Hiperplasia endometrial"
UTERO,"En movimiento con amplia cantidad de líquido amniótico, fetos con esqueleto óseo bien definido, órganos abdominales diferenciables como hígado, riñones, vejiga urinaria, estómago y asas intestinales"
UTERO,Tomando esta última como mejor referencia estimada del parto y probabilidad de ser antes.
UTERO,Pulmones ecogénicos con relación al parénquima hepático
RAZAS,DACHSHUND
RIÑON DERECHO,"Se observa una pequeña área hiperecoica medular con sombra acústica sugerente de mineralización, nefrolitiasis o fibrosis"
CONCLUSIONES,"Realizar ecografía de control en 6 meses y detallar ambos riñones para descartar mineralización, nefrolitiasis y/o fibrosis medular"
OVARIOS,No se observaron ovarios durante este estudio.
OCULAR,Cámara anterior anecoica (normal)
OCULAR,Capsulas anterior y posterior del cristalino delgado y brillante (normal)
OCULAR,Humor vítreo anecoico (normal)
OCULAR,Pared posterior ojo brillante en  línea curva lisa sin estructuras hiperecoicas adyacentes (normal)
OCULAR,Cornea estructura lineal uniforme y moderadamente ecogénica
OCULAR,No se observa ninguna estructura brillante dentro de la cámara anterior o el cuerpo vítreo (normal)
OCULAR,Se observa material graso hiperecoico que rodea el nervio óptico hipoecoico (normal)
OCULAR,Medición de la vaina del nervio óptico
OCULAR,Cámara anterior profunda por presuntivo glaucoma y/o buftalmia crónica - aguda
OCULAR,Material ecogénico en cámara posterior por luxación del cristalino
OCULAR,Material ecogénico en cámara anterior por luxación del cristalino
OCULAR,Nódulo hiperecogénico en cámara anterior
OCULAR,Sinequias anteriores
OCULAR,Catarata intumescence
OCULAR,Cristalino ecogénico por presuntiva esclerosis nuclear
OCULAR,"Estructuras ecogenicas en segmento posterior formando hebras finas, membranas, grumos y/o puntos en el humor vítreo por degeneración vítrea"
OCULAR,Estructuras ecogenicas en segmento posterior por hemorragia de retina
OCULAR,Forma anormal del globo ocular por ruptura escleral o corneal
OCULAR,Forma anormal del globo ocular por encogimiento Tisis o micro oftalmia
OCULAR,Masa retrobulbar que mella focalmente el globo ocular
OCULAR,Notorio edema de la cabeza del nervio óptico
HUESOS,La superficie medial del fémur se muestra como una línea curva hiperecoica brillante
HUESOS,A nivel de la diáfisis media  se aprecia
"GRANDES VASOS, VENAS Y ARTERIA",Lumen anecoico alineado horizontal mente de la vena yugular
"GRANDES VASOS, VENAS Y ARTERIA",Liquido perivascular anecoico superficial a la vena por hematoma
"GRANDES VASOS, VENAS Y ARTERIA",Liquido perivascular anecoico superficial a la vena por hematoma
MUSCULAR,Liquido perivascular anecoico superficial a la vena por hematoma
HUESOS,Se visualiza el hueso____  en su eje corto  y largo observando línea hiperecoica proximal a lo largo de la corteza ósea cuyo curso no evidencia alteraciones
HUESOS,Se visualiza el hueso____  en su eje corto y largo observando línea hiperecoica proximal a lo largo de la corteza ósea cuyo curso  evidencia alteración en escalón que indicativo de fractura
HUESOS,Imagen ecogénica compatible con cuerpo extraño
HUESOS,Perdida de la línea ósea brillante anterior  sugerente de reacción perióstica y/o panosteitis
HUESOS,Presenta quiste óseo
HUESOS,Tumefacción de ecogenicidad mixta compatible con absceso
HUESOS,Presencia de efusión articular
HUESOS,Imagen en modo B en la cual se distingue una clara interrupción de la continuidad esperada en  línea hiperecoica proximal del periostio
MUSCULAR,Deformación indiferenciada de los planos musculares o no caracterizada de presentación ecogénica mixta
MUSCULAR,Evaluación de una tumefacción de tejido blando muscular con proceso inflamatorio anecogénico encapsulado
MUSCULAR,Perdida de continuidad de la pared muscular por hernia con anillo hiperecogénico
MUSCULAR,Contenido aéreo en tumefacción de tejido blando
MUSCULAR,"Presencia de masa infiltrativa muscular con ecogenicidad mixta, estructuras trabeculadas con contenido anecoico"
OCULAR,Hemorragia vítrea con material ecogénico presente en el segmento posterior
OCULAR,Desprendimiento de retina por la presencia de una línea irregular hiperecoica que se extiende desde y hacia la pared posterior del ojo
"TORAX , PULMONES","Perpendicular a las costillas se aprecia el signo del cocodrilo formado por las cabezas de costillas y el espacio intercostal interpuesto, la línea hiperecoica representa la interfase Pulmón - Pleura"
CAVIDAD ABDOMINAL,Imagen en espejo de hígado dentro del tórax que descarta presencia de efusión pleural
"TORAX , PULMONES",Presencia de efusión pleural en mediastino craneal
"TORAX , PULMONES",Evaluación ecográfica enfocada en el tórax de paciente con trauma (TFAST)
"TORAX , PULMONES",Signo de deslizamiento pleural positivo (normal)
"TORAX , PULMONES","Signo de escalón por desvió del signo de deslizamiento de la continuidad normal de Pulmón Pleura  sugerente de desgarro intercostal, trauma de pared torácica, alteración del espacio pleural o afección"
"TORAX , PULMONES",Cohetes pulmonares o colas de cometa representativos de contusión pulmonar secundaria a trauma o edema intersticial en pacientes no traumatizados
"TORAX , PULMONES",Presenta signo de pulso pulmonar por deslizamiento hacia atrás y hacia adelante con cada latido cardiaco
"TORAX , PULMONES","Signo de punto pulmonar en tercio medio, tercio superior y tercio inferior torácico que establece diagnóstico de neumotórax masivo"
"TORAX , PULMONES",Signo de punto pulmonar en tercio superior torácico que establece diagnóstico de neumotórax  parcial
"TORAX , PULMONES",Presencia de enfisema subcutáneo
"TORAX , PULMONES",Imagen en espejo de hígado dentro del tórax que descarta presencia de efusión pleural
"TORAX , PULMONES",Cohetes pulmonares confluentes fusionados en vista hepato diafragmática de patrón pulmón blanco
"TORAX , PULMONES",Efusión pericárdica donde el líquido contenido queda en evidencia por un borde hiperecoico compatible con el saco pericárdico que rodea el corazón
MUSCULAR,Deformación indiferenciada de los planos musculares o no caracterizada de presentación ecogénica mixta
MUSCULAR,Evaluación de una tumefacción de tejido blando muscular con proceso inflamatorio anecogénico encapsulado
MUSCULAR,Perdida de continuidad de la pared muscular por hernia con anillo hiperecogénico
MUSCULAR,Contenido aéreo en tumefacción de tejido blando
MUSCULAR,"Presencia de masa infiltrativa muscular con ecogenicidad mixta, estructuras trabeculadas con contenido anecoico"
GLANDULA TIROIDES,"Vista longitudinal  lóbulo tiroideo, medial a la arteria carótida, parénquima tiroideo ligeramente más ecogénico con textura fina que la musculatura cervical adyacente"
GLANDULA TIROIDES,Posición envuelta por una vaina hiperecogenica delgada
GLANDULA TIROIDES,Músculos esternocefalicos y esterno hioideos están superficiales a la tiroides con características ecogénicas conservadas.
GLANDULA TIROIDES,Características ecogénicas conservadas
GLANDULA TIROIDES,"Quistes foliculares tiroideos bilaterales 
"
GLANDULA TIROIDES,Glándula tiroidea izquierda presenta
GLANDULA TIROIDES,Glándula tiroidea derecha presenta
GLANDULA TIROIDES,Múltiples focos hiperecogénicos en la glándula
GLANDULA TIROIDES,Múltiples focos hipoecogénicos en la glándula
GLANDULA TIROIDES,Examen Doppler color de la glándula tiroidea que muestra un buen flujo sanguíneo parenquimatoso
GLANDULA TIROIDES,Compatibilidad con adenomas paratiroideos
"GRANDES VASOS, VENAS Y ARTERIA",Lumen anecoico alineado horizontal mente de la vena yugular
"GRANDES VASOS, VENAS Y ARTERIA",Liquido perivascular anecoico superficial a la vena por hematoma
"GRANDES VASOS, VENAS Y ARTERIA",Gggggggggggggg
"GRANDES VASOS, VENAS Y ARTERIA",Liquido perivascular anecoico superficial a la vena por hematoma
"GRANDES VASOS, VENAS Y ARTERIA",Liquido perivascular anecoico superficial a la vena por hematoma
"GRANDES VASOS, VENAS Y ARTERIAS",Lumen anecoico alineado horizontalmete de la vena yugular
"GRANDES VASOS, VENAS Y ARTERIAS",Iojljkljkl
GLANDULAS ADRENALES,HIPOFUNCION MANIFIESTA
RIÑON IZQUIERDO,"Plantilla 1
"
RIÑON IZQUIERDO,Plantilla 1
VESICULA BILIAR,Plantilla 1
VESICULA BILIAR,Plantilla 2
BAZO,Plantilla 1
VEJIGA URINARIA,Plantilla 1
HUESOS,Plantilla 1
CAVIDAD ABDOMINAL,Plantilla 1
OVARIOS,"Plantilla 1
"
TESTICULOS,Pl1
RIÑON IZQUIERDO,"Plantilla 2
"
RAZAS,"DELFIN
"
RAZAS,MESTIZO
HIGADO,"Parrafo 1
"
BAZO,Plantilla 2
ESTOMAGO,"Parrafo 1
"
ESTOMAGO,"Parrafo 2
"
CONCLUSIONES,Parrafo de conclusiones
BAZO,"Parrafo 1
"
GLANDULA TIROIDES,Flujo vascular -------
GLANDULA TIROIDES,LLongitud del lobulo izquierdo ____
OBSERVACIONES,Observacion 167
OBSERVACIONES,"Observacion 2
"
RECOMENDACIONES,Recomendacion 1
DIAGNOSTICOS DIFERENCIALES,Diag dif 1
IMPRESION DIAGNOSTICA,Impresion 1
GASTROSCOPIA,"GASTRO 1
"
GASTROSCOPIA,GASTRO 2
COLONOSCOPIA,COLONO 1
COLONOSCOPIA,"COLONO 2
"
CADERA,hjsdeh dws mjdf dsfjmhsfv jfsv fsdv jfj vf fb bb
INTESTINO GRUESO,Hinchazon tipo alfa
BAZO,Parénquima homogenea
MOTIVOS,"Estudio de gestación
"
BAZO,Largo aumentado
INTESTINO DELGADO,Intestino agrandado tipo alfa
URETRA,Hinchada por la parte dercha
,
,
,
TRATAMIE,ATAMEL
TRATAMIE,OMEPRAZOL
TRATAMIE,AMLODIPINO
TRATAMIE,ENALAPRIL 5 MG BID
TRATAMIE,ESPIRONOLACTONA 6.25 MG SID
TRATAMIE,FUROSEMIDA 20 MG TID BID SID PRN
TRATAMIE,DIETA HIPOSODICA
TRATAMIE,DILTIAZEM
TRATAMIE,VETMEDIN 2.5 MG BID
TRATAMIE,VETMEDIN 5 MG BID
TRATAMIE,VETMEDIN 1.25 MG BID
TRATAMIE,RESTRICCION DEL EJERCICIO
TRATAMIE,FUROSEMIDA
TRATAMIE,REMINAL 2.5 MG BID
TRATAMIE,TRAMADOL
TRATAMIE,PREDNISONA
TRATAMIE,NINGUNO
TRATAMIE,CORAZEM
TRATAMIE,CARDIAL
TRATAMIE,POTASIO
TRATAMIE,DIGOXINA
TRATAMIE,DRENAJE TORAXICO
TRATAMIE,AMIODARONA
TRATAMIE,PROPANOLOL
TRATAMIE,PIMOBENDAN 2.5 MG BID
TRATAMIE,CONCOR 1.25 BID
TRATAMIE,AMLODIPINA
TRATAMIE,PREDNISONA 5 MG BID X 7 D SID X 7 D QOD X 7D
TRATAMIE,LISINOPRIL
TRATAMIE,HIDROCLOROTIAZIDA 0.625 SID
INTESTINO DELGADO,Enfermedad tipo alfa
OVARIOS,Presenta ovario alfa
BAZO,aumento de volumen
VEJIGA URINARIA,Se evidenció en su topografia habitual
TRATAMIE,XZP
ESTOMAGO,Presenta aumento alfa
ESTOMAGO,"Parrafo 3
"
REFERIDOS,Clinica Suiza
RAZAS,CRUZA
REFERIDOS,CAMILA PAOLINI
EQUIPOS,MINDRAY KL
RIÑON IZQUIERDO,HHHHHHHHHDDDHDHDHHDH FFFF
VESICULA BILIAR,"Glaucoma
"
URETRA,Uretra tipo alfa
CONCLUSIONES,Litiasis
CONCLUSIONES,Neoplasia hepatica
"TORAX , PULMONES",Thjhjgfn fgn gfjhgfjhgfjkgf ngf gf gfjngfjgfjjgf ngf fgjgfjjgjjg
REFERIDOS,"CLINICA PARAGUAY
"
BAZO,Ancho disminuido
CONCLUSIONES,Tumor de higado
CONCLUSIONES,Tumor de bazo
PLACA1,INFORME DE ECOGRAFIA
PLACA1,INFORME DE RADIOLOGIA
EQUIPOS,SONOSCAPE ULTRA
